Full Name,First Name,Last Name,2K00,2K01,2K02,2K03,2K04,2K05,2K06,2K07,2K08,2K09,2K10,2K11,2K12,2K13,2K14,2K15,2K16,2K17,2K18,2K19,2K20,2K21,2K22,2K23,2k24,2k25,2k26
James Augustine,James,Augustine,,,,,,,,,62,,,,,,,,,,,,,,,,,,
James Banks,James,Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Bell,James,Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Blackmon,James,Blackmon,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Collins,James,Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Cotton,James,Cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Donaldson,James,Donaldson,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Edwards,James,Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Ennis,James,Ennis,,,,,,,,,,,,,,,,70,70,71,72,75,73,75,,,,,
James Johnson,James,Johnson,,,,,,,,,,,62,64,62,65,66,70,75,72,79,77,75,76,73,70,70,70,
James Jones,James,Jones,,,,,70,69,,,75,75,58,58,58,58,58,69,69,69,,,,,,,,,
James Lang,James,Lang,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Mays,James,Mays,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Michael McAdoo,James Michael,McAdoo,,,,,,,,,,,,,,,,67,67,68,69,,,,,,,,
James Nunnally,James,Nunally,,,,,,,,,,,,,,,,,,,,72,,,,,,,
James Palmer Jr,James,Palmer Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Posey,James,Posey,74.00,81,77,74,73,79,78,,78,75,72,70,67,,,,,,,,,,,,,,
James Robinson,James,Robinson,64.00,,,,,,,,,,,,,,,,,,,,,,,,,,
James Scott,James,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Singleton,James,Singleton,,,,,,,64,67,,,,,,,,,,,,,,,,,,,
James Southerland,James,Southerland,,,,,,,,,,,,,,,62,,,,,,,,,,,,
James Thomas,James,Thomas,,,,,,,66,,,,,,,,,,,,,,,,,,,,
James Webb,James,Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,
James White,James,White,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Worthy,James,Worthy,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Young,James,Young,,,,,,,,,,,,,,,,68,68,67,70,70,,,,,,,
JamesOn Curry,JamesOn,Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Feick,Jamie,Feick,64.00,76,,55,,,,,,,,,,,,,,,,,,,,,,,
Jamie Skeen,Jamie,Skeen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Watson,Jamie,Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamil Wilson,Jamil,Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamison Brewer,Jamison,Brewer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamorko Pickett,Jamorko,Pickett,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Vesely,Jan,Vesely,,,,,,,,,,,,,,60,64,,,,,,,,,,,,
Janis Timma,Janis,Timma,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jannero Pargo,Jannero,Pargo,,,,,61,72,66,74,77,,64,,61,,65,67,,,,,,,,,,,
JaQuori McLaughlin,JaQuori,McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarace Walker,Jarace,Walker,,,,,,,,,,,,,,,,,,,,,,,,,74,74,
Jared Berggren,Jared,Berggren,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Brownridge,Jared,Brownridge,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Cunningham,Jared,Cunningham,,,,,,,,,,,,,,66,67,,,,,,,,,,,,
Jared Dudley,Jared,Dudley,,,,,,,,,71,71,63,71,72,75,72,74,75,76,74,72,72,72,,,,,
Jared Harper,Jared,Harper,,,,,,,,,,,,,,,,,,,,,,67,,,,,
Jared Jeffries,Jared,Jeffries,,,,,70,73,74,71,70,72,59,62,58,,,,,,,,,,,,,,
Jared McCain,Jared,McCain,,,,,,,,,,,,,,,,,,,,,,,,,,70,
Jared Reiner,Jared,Reiner,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Rhoden,Jared,Rhoden,,,,,,,,,,,,,,,,,,,,,,,,,69,,
Jared Sullinger,Jared,Sullinger,,,,,,,,,,,,,,69,72,78,77,77,,,,,,,,,
Jared Terrell,Jared,Terrell,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarell Eddie,Jarell,Eddie,,,,,,,,,,,,,,,,,65,66,67,,,,,,,,
Jarell Martin,Jarell,Martin,,,,,,,,,,,,,,,,,67,69,72,73,,,,,,,
Jaren Jackson,Jaren,Jackson,82.00,68,,,,,,,,,,,,,,,,,,,,,,,,87,
Jarnell Stokes,Jarnell,Stokes,,,,,,,,,,,,,,,,71,72,,,,,,,,,,
Jaron Blossomgame,Jaron,Blossomgame,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaron Johnson,Jaron,Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarred Shaw,Jarred,Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrell Brantley,Jarrell,Brantley,,,,,,,,,,,,,,,,,,,,,,67,70,67,67,,
Jarrett Culver,Jarrett,Culver,,,,,,,,,,,,,,,,,,,,,77,74,72,72,71,,
Jarrett Jack,Jarrett,Jack,,,,,,,,79,77,,71,69,65,79,79,74,74,74,73,72,,,,,,,
Jarrid Famous,Jarrid,Famous,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrod Uthoff,Jarrod,Uthoff,,,,,,,,,,,,,,,,,,,,,,67,,,,,
Jarron Collins,Jarron,Collins,,,69,62,,68,64,68,66,61,,48,,,,,,,,,,,,,,,
Jarron Cumberland,Jarron,Cumberland,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarvis Hayes,Jarvis,Hayes,,,,,72,69,74,,73,,63,,,,,,,,,,,,,,,,
Jarvis Varnado,Jarvis,Varnado,,,,,,,,,,,,,,,61,67,,,,,,,,,,,
Jason Caffey,Jason,Caffey,73.00,73,77,,65,,,,,,,,,,,,,,,,,,,,,,
Jason Collier,Jason,Collier,,,65,54,64,,,,,,,,,,,,,,,,,,,,,,
Jason Collins,Jason,Collins,,,77,59,69,71,70,,,62,,51,45,49,50,,,,,,,,,,,,
Jason Hart,Jason,Hart,,,,,,,72,,69,70,,,,,,,,,,,,,,,,,
Jason Jones,Jason,Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Kapono,Jason,Kapono,,,,,61,72,,,78,76,59,58,53,,,,,,,,,,,,,,
Jason Kidd,Jason,Kidd,94.00,96,94,94,90,90,94,92,90,82,80,83,77,80,,,,,,,,,,,,,
Jason Lawson,Jason,Lawson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Maxiell,Jason,Maxiell,,,,,,,,66,77,76,69,71,70,71,70,,,,,,,,,,,,
Jason Miskiri,Jason,Miskiri,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Richards,Jason,Richards,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Richardson,Jason,Richardson,,,74,79,79,88,85,86,84,83,72,73,73,74,73,73,,,,,,,,,,,
Jason Sasser,Jason,Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Smith,Jason,Smith,,,,,,,,,70,72,57,56,55,61,60,72,72,73,73,69,,,,,,,
Jason Terry,Jason,Terry,79.00,79,79,83,82,82,82,84,81,80,78,78,76,77,77,74,71,71,69,,,,,,,,
Jason Thompson,Jason,Thompson,,,,,,,,,,72,66,71,66,70,68,75,70,,,,,,,,,,
Jason Washburn,Jason,Washburn,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Williams,Jason,Williams,82.00,81,84,79,83,80,79,,77,,65,70,,,,,,,,,,,,,,,
Javante McCoy,Javante,McCoy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javaris Crittenton,Javaris,Crittenton,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javin DeLaurier,Javin,DeLaurier,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javon Bess,Javon,Bess,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javon Freeman-Liberty,Javon,Freeman-Liberty,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javon McCrea,Javon,McCrea,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawad Williams,Jawad,Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawann Oldham,Jawann,Oldham,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawun Evans,Jawun,Evans,,,,,,,,,,,,,,,,,,,,69,,,,,,,
Jay Guidinger,Jay,Guidinger,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Humphries,Jay,Humphries,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Williams,Jay,Williams,,,,,74,,,,,,,,,,,,,,,,,,,,,,
Jaylen Adams,Jaylen,Adams,,,,,,,,,,,,,,,,,,,,,,69,,,,,
Jaylen Barford,Jaylen,Barford,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Clark,Jaylen,Clark,,,,,,,,,,,,,,,,,,,,,,,,,,68,
Jaylen Hands,Jaylen,Hands,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Hoard,Jaylen,Hoard,,,,,,,,,,,,,,,,,,,,,,69,,,,,
Jaylen Johnson,Jaylen,Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Martin,Jaylen,Martin,,,,,,,,,,,,,,,,,,,,,,,,,,67,
Jaylen Morris,Jaylen,Morris,,,,,,,,,,,,,,,,,,,,66,,,,,,,
Jaylen Wells,Jaylen,Wells,,,,,,,,,,,,,,,,,,,,,,,,,,68,
Jaylon Tyson,Jaylon,Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,70,
Jaysean Paige,Jaysean,Paige,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayson Granger,Jayson,Granger,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayson Williams,Jayson,Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeenathan Williams,Jeenathan,Williams,,,,,,,,,,,,,,,,,,,,,,,,,70,,
Jeff Adrien,Jeff,Adrien,,,,,,,,,,,,,57,,63,71,,,,,,,,,,,
Jeff Ayres,Jeff,Ayres,,,,,,,,,,,,,,,,67,,,,,,,,,,,
Jeff Brooks,Jeff,Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Coby,Jeff,Coby,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Foote,Jeff,Foote,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Foster,Jeff,Foster,64.00,72,73,73,75,76,73,75,73,75,65,66,62,,,,,,,,,,,,,,
Jeff Grayer,Jeff,Grayer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Hornacek,Jeff,Hornacek,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Ledbetter,Jeff,Ledbetter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Malone,Jeff,Malone,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Martin,Jeff,Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff McInnis,Jeff,McInnis,,,78,74,74,69,74,,70,,,,,,,,,,,,,,,,,,
Jeff Nordgaard,Jeff,Nordgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Roberson,Jeff,Roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Sanders,Jeff,Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Teague,Jeff,Teague,,,,,,,,,,,66,63,63,75,75,78,83,79,79,79,78,78,,,,,
Jeff Trepagnier,Jeff,Trepagnier,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Turner,Jeff,Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Webster,Jeff,Webster,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Withey,Jeff,Withey,,,,,,,,,,,,,,,60,69,70,74,73,,,,,,,,
Jefferson Sobral,Jefferson,Sobral,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffery Taylor,Jeffery,Taylor,,,,,,,,,,,,,,65,65,,,,,,,,,,,,
Jeffrey Carroll,Jeffrey,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Sheppard,Jeffrey,Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelani McCoy,Jelani,McCoy,69.00,66,66,,65,,,,,,,,,,,,,,,,,,,,,,
Jemerrio Jones,Jemerrio,Jones,,,,,,,,,,,,,,,,,,,,,70,70,,,,,
JeQuan Lewis,JeQuan,Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerald Honeycutt,Jerald,Honeycutt,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerel McNeal,Jerel,McNeal,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremiah Martin,Jeremiah,Martin,,,,,,,,,,,,,,,,,,,,,,67,,,,,
Jeremiah Tilmon,Jeremiah,Tilmon,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Evans,Jeremy,Evans,,,,,,,,,,,,57,56,56,56,70,70,70,,,,,,,,,
Jeremy Lamb,Jeremy,Lamb,,,,,,,,,,,,,,71,71,73,73,74,75,78,79,77,78,,,,
Jeremy Lin,Jeremy,Lin,,,,,,,,,,,,,56,77,75,77,75,76,78,78,,,,,,,
Jeremy Pargo,Jeremy,Pargo,,,,,,,,,,,,,,60,,,,,,,,69,,,,,
Jeremy Richardson,Jeremy,Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Senglin,Jeremy,Senglin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Tyler,Jeremy,Tyler,,,,,,,,,,,,,,61,63,67,,,,,,,,,,,
Jerian Grant,Jerian,Grant,,,,,,,,,,,,,,,,,69,72,74,74,,72,,,,,
Jermaine Jackson,Jermaine,Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine Marshall,Jermaine,Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jermaine O'Neal,Jermaine,O'Neal,,84,90,86,89,89,89,91,90,86,75,74,68,70,72,,,,,,,,,,,,
Jermaine Samuels,Jermaine,Samuels,,,,,,,,,,,,,,,,,,,,,,,,,,68,
Jermaine Taylor,Jermaine,Taylor,,,,,,,,,,,62,62,,,,,,,,,,,,,,,
Jermaine Walker,Jermaine,Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jermareo Davidson,Jermareo,Davidson,,,,,,,,,67,,,,,,,,,,,,,,,,,,
Jerome Allen,Jerome,Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Beasley,Jerome,Beasley,,,,,64,,,,,,,,,,,,,,,,,,,,,,
Jerome Dyson,Jerome,Dyson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome James,Jerome,James,,,61,65,66,,70,67,66,69,42,,,,,,,,,,,,,,,,
Jerome Jordan,Jerome,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Kersey,Jerome,Kersey,79.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Lane,Jerome,Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Moiso,Jerome,Moiso,,,,,58,66,,,,,,,,,,,,,,,,,,,,,
Jerome Randle,Jerome,Randle,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Robinson,Jerome,Robinson,,,,,,,,,,,,,,,,,,,,72,71,73,,,,,
Jerome Williams,Jerome,Williams,61.00,91,72,74,70,66,,,,,,,,,,,,,,,,,,,,,
Jerrelle Benimon,Jerrelle,Benimon,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerrod Mustaf,Jerrod,Mustaf,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Evans,Jerry,Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Reynolds,Jerry,Reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Stackhouse,Jerry,Stackhouse,89.00,87,89,78,82,82,78,78,76,75,,,64,67,,,,,,,,,,,,,
Jerryd Bayless,Jerryd,Bayless,,,,,,,,,,71,65,66,65,70,70,74,72,74,73,69,,,,,,,
Jeryl Sasser,Jeryl,Sasser,,,70,62,69,,,,,,,,,,,,,,,,,,,,,,
Jett Howard,Jett,Howard,,,,,,,,,,,,,,,,,,,,,,,,,72,71,
Jim Grandholm,Jim,Grandholm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Jackson,Jim,Jackson,77.00,,72,,72,80,77,,,,,,,,,,,,,,,,,,,,
Jim Les,Jim,Les,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim McIlvaine,Jim,McIlvaine,70.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Paxson,Jim,Paxson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Petersen,Jim,Petersen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmer Fredette,Jimmer,Fredette,,,,,,,,,,,,,,65,66,72,67,,,,,,,,,,
Jimmie Hunter,Jimmie,Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy King,Jimmy,King,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Oliver,Jimmy,Oliver,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jio Fontan,Jio,Fontan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiri Welsch,Jiri,Welsch,,,,70,,,72,,,,,,,,,,,,,,,,,,,,
JJ Avila,JJ,Avila,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ Hickson,JJ,Hickson,,,,,,,,,,72,61,65,74,74,77,77,73,,,,,,,,,,
JJ O'Brien,JJ,O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ Redick,JJ,Redick,,,,,,,,,,,52,66,64,70,72,77,79,78,79,79,80,78,,,,,
Jo Jo English,Jo Jo,English,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joakim Noah,Joakim,Noah,,,,,,,,,77,75,66,73,82,83,83,87,79,77,74,73,74,72,,,,,
Jodie Meeks,Jodie,Meeks,,,,,,,,,,,61,58,62,68,69,75,74,74,72,72,,,,,,,
Joe Alexander,Joe,Alexander,,,,,,,,,,72,63,58,,,,,,,,,,,,,,,
Joe Barry Carroll,Joe Barry,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Chealey,Joe,Chealey,,,,,,,,,,,,,,,,,,,,,,68,,,,,
Joe Courtney,Joe,Courtney,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Crispin,Joe,Crispin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Dumars,Joe,Dumars,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Jackson,Joe,Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Johnson,Joe,Johnson,,,75,77,77,85,84,,89,87,83,88,84,85,83,82,79,77,76,,,,,,,,
Joe Kleine,Joe,Kleine,66.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Smith,Joe,Smith,83.00,79,79,77,75,76,71,,,,64,,,,,,,,,,,,,,,,
Joe Stephens,Joe,Stephens,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Wolf,Joe,Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Anthony,Joel,Anthony,,,,,,,,,,67,58,58,55,58,59,66,66,,,,,,,,,,
Joel Ayayi,Joel,Ayayi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Barkers,Joel,Barkers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Berry II,Joel,Berry II,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Bolomboy,Joel,Bolomboy,,,,,,,,,,,,,,,,,,67,69,,,,,,,,
Joel Freeland,Joel,Freeland,,,,,,,,,,,,,,,63,68,,,,,,,,,,,
Joel Przybilla,Joel,Przybilla,,70,70,59,55,76,79,72,74,76,65,67,63,61,,,,,,,,,,,,,
Joey Dorsey,Joey,Dorsey,,,,,,,,,,66,,63,,,,,,,,,,,,,,,
Joey Graham,Joey,Graham,,,,,,,70,73,70,69,,68,,,,,,,,,,,,,,,
Joffrey Lauvergne,Joffrey,Lauvergne,,,,,,,,,,,,,,,,69,69,75,73,,,,,,,,
Johan Petro,Johan,Petro,,,,,,,,64,66,69,,56,52,54,,,,,,,,,,,,,
John Allen,John,Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Amaechi,John,Amaechi,70.00,,64,,,,,,,,,,,,,,,,,,,,,,,,
John Bagley,John,Bagley,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Battle,John,Battle,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Bohannon,John,Bohannon,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Butler,John,Butler,,,,,,,,,,,,,,,,,,,,,,,,,67,,
John Celestand,John,Celestand,74.00,,,,,,,,,,,,,,,,,,,,,,,,,,
John Coker,John,Coker,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Crotty,John,Crotty,63.00,,66,,,,,,,,,,,,,,,,,,,,,,,,
John Dickson,John,Dickson,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Edwards,John,Edwards,,,,,,,66,59,,,,,,,,,,,,,,,,,,,
John Egbunu,John,Egbunu,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Henson,John,Henson,,,,,,,,,,,,,,62,62,75,74,76,74,77,75,75,,,,,
John Holland,John,Holland,,,,,,,,,,,,,,,,,,,66,66,,,,,,,
John Jenkins,John,Jenkins,,,,,,,,,,,,,,61,61,68,67,69,,,,,,,,,
John Long,John,Long,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Lucas,John,Lucas,,,,,,,,68,,,,,50,64,64,69,,,,,,,,,,,
John Millsap,John,Millsap,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Morton,John,Morton,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Paxson,John,Paxson,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Petrucelli,John,Petrucelli,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Petty Jr,John,Petty Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Roberson,John,Roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Salley,John,Salley,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Salmons,John,Salmons,,,,67,,71,76,,76,76,71,74,72,73,72,73,,,,,,,,,,,
John Shasky,John,Shasky,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Shurna,John,Shurna,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Starks,John,Starks,83.00,73,,,,,,,,,,,,,,,,,,,,,,,,,
John Stockton,John,Stockton,94.00,90,93,90,,,,,,,,,,,,,,,,,,,,,,,
John Thomas,John,Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Turner,John,Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Wallace,John,Wallace,65.00,,66,,64,,,,,,,,,,,,,,,,,,,,,,
John Williams,John,Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnathan Motley,Johnathan,Motley,,,,,,,,,,,,,,,,,,,,72,70,71,,,,,
Johnathan Williams,Johnathan,Williams,,,,,,,,,,,,,,,,,,,,,,70,,,,,
Johnny Dawkins,Johnny,Dawkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Furphy,Johnny,Furphy,,,,,,,,,,,,,,,,,,,,,,,,,,70,
Johnny Hamilton,Johnny,Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Newman,Johnny,Newman,67.00,65,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny O'Bryant,Johnny,O'Bryant,,,,,,,,,,,,,,,,67,64,,,,,,,,,,
Johnny Taylor,Johnny,Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Barry,Jon,Barry,72.00,74,77,73,,72,76,,,,,,,,,,,,,,,,,,,,
Jon Brockman,Jon,Brockman,,,,,,,,,,,,53,52,53,,,,,,,,,,,,,
Jon Davis,Jon,Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Diebler,Jon,Diebler,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Horford,Jon,Horford,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Koncak,Jon,Koncak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Lee,Jon,Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Leuer,Jon,Leuer,,,,,,,,,,,,,,,63,69,72,75,75,74,,,,,,,
Jon Stefansson,Jon,Stefansson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Sundvold,Jon,Sundvold,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Teske,Jon,Teske,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonah Bolden,Jonah,Bolden,,,,,,,,,,,,,,,,,,,,69,73,73,,,,,
Jonas Jerebko,Jonas,Jerebko,,,,,,,,,,,57,66,61,66,66,71,72,73,74,75,,,,,,,
Jonathan Bender,Jonathan,Bender,75.00,64,64,69,64,70,,,,,,,,,,,,,,,,,,,,,
Jonathan Gibson,Jonathan,Gibson,,,,,,,,,,,,,,,,,,68,,72,,,,,,,
Jonathan Holmes,Jonathan,Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Jeanne,Jonathan,Jeanne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Kerner,Jonathan,Kerner,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Mogbo,Jonathan,Mogbo,,,,,,,,,,,,,,,,,,,,,,,,,,69,
Jonathan Stark,Jonathan,Stark,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathon Simmons,Jonathon,Simmons,,,,,,,,,,,,,,,,,69,70,75,77,73,72,,,,,
Jontay Porter,Jontay,Porter,,,,,,,,,,,,,,,,,,,,,,71,,,,,
Jordan Aboudou,Jordan,Aboudou,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Adams,Jordan,Adams,,,,,,,,,,,,,,,,71,70,68,,,,,,,,,
Jordan Bachynski,Jordan,Bachynski,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Barnett,Jordan,Barnett,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Bell,Jordan,Bell,,,,,,,,,,,,,,,,,,,69,77,74,74,,,,,
Jordan Bone,Jordan,Bone,,,,,,,,,,,,,,,,,,,,,,68,,,,,
Jordan Bowden,Jordan,Bowden,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Burns,Jordan,Burns,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Caroline,Jordan,Caroline,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Crawford,Jordan,Crawford,,,,,,,,,,,,65,66,75,76,,,,,,,,,,,,
Jordan Dykstra,Jordan,Dykstra,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Farmar,Jordan,Farmar,,,,,,,,73,73,73,67,67,63,,69,72,,,,,,,,,,,
Jordan Floyd,Jordan,Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Ford,Jordan,Ford,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Goodwin,Jordan,Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,72,,
Jordan Hamilton,Jordan,Hamilton,,,,,,,,,,,,,,65,70,,,,,,,,,,,,
